,Liga_Goals,Liga_Asts,Liga_Aps,Liga_Mins,Liga_GPM,Liga_APM,Season,Player
0,34,12,36,2996,0.94,0.33,2017-18,Messi
1,26,5,27,2297,0.96,0.19,2017-18,Ronaldo
2,37,9,34,2832,1.09,0.26,2016-17,Messi
3,25,6,29,2544,0.86,0.21,2016-17,Ronaldo
4,26,16,33,2729,0.79,0.48,2015-16,Messi
5,35,11,36,3184,0.97,0.31,2015-16,Ronaldo
6,43,21,38,3375,1.13,0.55,2014-15,Messi
7,48,16,35,3096,1.37,0.46,2014-15,Ronaldo
8,28,12,31,2498,0.9,0.39,2013-14,Messi
9,31,11,30,2537,1.03,0.37,2013-14,Ronaldo
10,46,14,32,2629,1.44,0.44,2012-13,Messi
11,34,11,34,2716,1.0,0.32,2012-13,Ronaldo
12,50,20,37,3270,1.35,0.54,2011-12,Messi
13,46,13,38,3353,1.21,0.34,2011-12,Ronaldo
14,31,21,33,2862,0.94,0.64,2010-11,Messi
15,40,13,34,2914,1.18,0.38,2010-11,Ronaldo
16,34,13,35,2841,0.97,0.37,2009-10,Messi
17,26,11,29,2462,0.9,0.38,2009-10,Ronaldo
